"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"03/2024";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"4.119.422,41";"57.011.835,53";"58.664.274,12";"3.189.460,21";
"02/2024";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"4.197.375,32";"61.140.446,66";"60.663.685,85";"1.955.615,37";
"06/2024";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"3.755.560,82";"81.493.255,18";"67.259.572,27";"1.538.163,94";
"05/2024";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"20.079.163,03";"67.024.562,95";"65.359.322,67";"5.511.371,18";
"04/2024";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"32.888.376,43";"65.753.034,91";"59.952.952,14";"1.788.089,46";
"08/2024";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"2.942.840,54";"64.565.370,19";"62.436.596,16";"962.676,39";
"11/2024";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"5.365.563,40";"91.375.666,34";"74.771.442,32";"4.152.757,36";
"10/2024";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"5.309.692,19";"63.298.762,71";"64.077.359,58";"203.137,58";
"09/2024";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"- 364.336,17";"66.054.295,56";"64.666.825,95";"4.600.692,54";
"12/2024";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"32.891.493,53";"86.528.053,51";"92.211.883,11";"1.173.747,03";
"01/2024";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"752.526.582,50";"52.206.947,21";"5.277.580,78";"71.607.189,93";
"07/2024";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"10.136.064,62";"67.316.948,29";"84.907.810,04";"1.034.422,60";
