"Órgão Superior Lotação";"Órgão Lotação";"Órgão Exercício";"Servidores";"Inativos";"Pensionistas";
"MINISTERIO DA AGRICULTURA E PECUARIA";"Empresa Brasileira de Pesquisa Agropecuária";"Universidade Federal Rural do Rio de Janeiro";"1";"0";"0";
"Sem informação";"Ministério de Minas e Energia";"Universidade Federal Rural do Rio de Janeiro";"1";"0";"0";
"MIN DO DESENV AGR E AGRIC FAMILIAR";"Companhia Nacional de Abastecimento";"Universidade Federal Rural do Rio de Janeiro";"1";"0";"0";
"Ministério da Educação";"Instituto Federal do Pará";"Universidade Federal Rural do Rio de Janeiro";"1";"0";"0";
"Sem informação";"MINISTERIO DOS TRANSPORTES";"Universidade Federal Rural do Rio de Janeiro";"17";"0";"0";
"Sem informação";"MIN GESTAO E INOV EM SERV PUBLICOS";"Universidade Federal Rural do Rio de Janeiro";"1";"0";"0";
"MINISTERIO DA DEFESA";"Comando da Marinha";"Universidade Federal Rural do Rio de Janeiro";"1";"0";"0";
"Ministério da Educação";"Instituto Federal do Amazonas";"Universidade Federal Rural do Rio de Janeiro";"1";"0";"0";
"Sem informação";"MINISTERIO DAS COMUNICACOES";"Universidade Federal Rural do Rio de Janeiro";"21";"0";"0";
"MINISTERIO DAS CIDADES";"Companhia Brasileira de Trens Urbanos";"Universidade Federal Rural do Rio de Janeiro";"42";"0";"0";
"Sem informação";"ADVOCACIA-GERAL DA UNIAO";"Universidade Federal Rural do Rio de Janeiro";"2";"0";"0";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"Universidade Federal Rural do Rio de Janeiro";"2401";"0";"0";
